Perioden,Consumentenvertrouwen (gemiddelde saldo van de deelvragen),Economisch klimaat (gemiddelde saldo van de deelvragen),Koopbereidheid (gemiddelde saldo van de deelvragen),Economische situatie laatste 12 maanden (saldo positieve en negatieve antwoorden),Economische situatie komende 12 maanden (saldo positieve en negatieve antwoorden),Financiële situatie laatste 12 maanden (saldo positieve en negatieve antwoorden),Financiële situatie komende 12 maanden (saldo positieve en negatieve antwoorden),Gunstige tijd voor grote aankopen (saldo positieve en negatieve antwoorden)
2024 september,-21,-37,-11,-45,-29,-7,4,-29
2024 oktober,-22,-37,-12,-46,-28,-9,2,-28
2024 november,-25,-43,-12,-51,-34,-11,1,-28
2024 december,-26,-45,-13,-54,-37,-11,0,-27
2025 januari,-28,-50,-14,-57,-43,-13,-1,-28
2025 februari,-32,-54,-17,-58,-50,-15,-5,-32
2025 maart,-34,-57,-18,-59,-55,-16,-6,-34
2025 april,-37,-61,-20,-64,-59,-18,-8,-34
2025 mei,-37,-61,-21,-64,-58,-20,-9,-36
2025 juni,-36,-58,-21,-62,-54,-20,-8,-36
2025 juli,-32,-52,-19,-59,-46,-17,-5,-34
2025 augustus,-32,-52,-19,-61,-43,-18,-4,-34
2025 september,-32,-53,-18,-62,-43,-18,-1,-34
2025 oktober,-27,-46,-14,-55,-36,-16,2,-30
2025 november,-21,-34,-12,-47,-21,-14,5,-27
