shop_id;region;sqm_override;store_type
29658;Noord;340;City Store
29679;Oost;501;City Store
29685;Zuid;450;City Store
29683;Zuid;349;City Store
29669;Zuid;389;City Store
29771;Noord;650;City Store
29770;Noord;554;City Store
28704;Zuid;380;City Store
29691;Oost;420;City Store
29641;Noord;502;City Store
26249;North;;Road-side Store
26339;South;;City Store
6266;West;;Retail Park
27518;East;;City Store
26268;North;;Retail Park
26341;South;;Road-side Store
26248;West;;Retail Park
22604;East;;City Store
22605;North;;City Store
26250;South;;Retail Park
26225;West;;Boutique Store
26227;East;;Shopping Mall
26226;South;;City Store
27510;East;;Road-side Store
22602;North;;City Store
22601;East;;Retail Park
26255;West;;Shopping Mall
22603;South;;City Store
26343;West;;Road-side Store
26391;East;;Road-side Store
26380;South;;Retail Park
26340;North;;Road-side Store
26254;East;;City Store
26320;South;;Road-side Store
26256;North;;Shopping Mall
